U.S. Census Bureau
Source: Advance Monthly Sales for Retail and Food Services
44000: Retail Trade: U.S. Total
Seasonally Adjusted Sales - Monthly [Millions of Dollars]
Period: 2019 to 2022
Data Extracted on: June 6, 2024 (7:19 pm)

Period,Value
Jan-2019,438860
Feb-2019,439249
Mar-2019,446687
Apr-2019,446833
May-2019,449524
Jun-2019,449409
Jul-2019,453221
Aug-2019,456082
Sep-2019,452230
Oct-2019,453365
Nov-2019,456587
Dec-2019,457253
Jan-2020,456420
Feb-2020,456401
Mar-2020,429196
Apr-2020,376918
May-2020,443726
Jun-2020,473811
Jul-2020,480116
Aug-2020,482243
Sep-2020,491386
Oct-2020,489705
Nov-2020,487287
Dec-2020,495533
Jan-2021,511693
Feb-2021,498200
Mar-2021,550963
Apr-2021,554420
May-2021,545289
Jun-2021,548693
Jul-2021,537817
Aug-2021,542140
Sep-2021,545726
Oct-2021,555517
Nov-2021,562175
Dec-2021,558148
Jan-2022,571325
Feb-2022,574609
Mar-2022,585912
Apr-2022,592141
May-2022,589282
Jun-2022,593360
Jul-2022,589039
Aug-2022,590987
Sep-2022,588894
Oct-2022,595839
Nov-2022,588309
Dec-2022,581749
